"Plates45-3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
281.506,197.531,675.005,1023.62,682.207,5006,303
1141.66,567.05,4519.65,1102.48,682.266,3549.68,304
62.557,63.3781,1129.17,1207.15,680.262,6639.25,305
3643.94,1127.59,1441.41,1055.44,689.38,2801.08,306
62.557,63.3573,4086.32,1097.12,684.013,7586.75,307
62.557,63.3781,2029.44,1229.66,685.264,6955.25,308
140.753,115.918,2058.06,1102.26,688.181,5298.44,309
46.9177,50.4766,631.519,1240.08,688.181,7639,310
250.228,180.01,2035.85,1083.83,691.672,5575.75,311
46.9177,50.4766,1566.8,1200.06,690.682,6480.33,312
234.589,170.742,1445.77,1259.08,691.516,5189.6,313
15.6392,18.7876,2767.17,1293.42,689.015,8734,314
31.2785,35.281,955.368,1115.87,691.516,8627.5,315
15.6392,18.7876,1239.2,1283.42,691.516,7303,316
563.013,322.363,4450.46,1067.24,698.67,4533.86,317
15.6392,18.7876,3349.84,918.311,696.517,6817,318
156.392,126.495,4136.33,1274.92,698.518,6610.8,319
93.8355,86.8047,2445.82,897.471,700.685,5679.67,320
62.557,63.3573,2055.7,1119.62,699.018,6794,321
31.2785,35.2916,556.497,1185.89,700.268,8208,322
31.2785,35.2916,4367.65,1025.84,702.769,7391,323
78.1962,76.2385,852.587,1112.87,703.019,6781.8,324
78.1962,76.2281,1320.73,1264.92,703.519,6103.2,325
187.671,149.86,2884.29,846.206,709.438,6076.17,326
1376.25,589.924,3519.67,893.957,712.459,3777.99,327
140.753,115.908,1032.75,1169.22,707.909,5981.67,328
93.8355,89.0989,3854.16,1112.54,711.522,6053,329
62.557,65.6312,2038.82,967.076,712.772,8146.75,330
218.949,161.515,2520.84,994.048,714.022,4382.07,331
578.652,331.612,1394.39,1216.71,715.442,4571.84,332
78.1962,76.2281,1855.39,917.31,714.523,7136.6,333
1548.29,637.112,3541.24,1029.48,719.175,3795.56,334
187.671,149.86,3019.12,1208.19,716.94,6017.33,335
6803.07,1727.35,3079.71,894.568,731.683,2308.77,336
62.557,63.3781,556.497,1027.09,722.775,7839,337
140.753,115.918,1945.53,1062.24,723.192,5183,338
46.9177,50.4766,1441.77,1080.03,723.192,6938.67,339
15.6392,18.7876,433.959,1098.37,721.525,7889,340
547.374,318.078,2931.86,1170.53,725.812,4331.86,341
2205.13,811.293,4128.63,1051.03,730.747,3342.65,342
359.703,233.859,3112.27,1086.51,728.701,4653.87,343
31.2785,35.281,3848.75,1225.9,724.025,7501.5,344
46.9177,50.4766,834.081,861.627,727.36,6756,345
125.114,103.047,1853.14,1019.59,727.777,6587.63,346
187.671,142.717,540.242,1278.42,727.777,5615.17,347
31.2785,35.281,1949.42,1057.1,729.027,5943.5,348
15.6392,18.7876,4320.14,1185.89,729.027,8481,349
15.6392,18.7876,3244.81,1235.91,729.027,7275,350
1094.75,550.569,3428.69,802.561,739.887,3372.74,351
140.753,123.806,2279.52,993.334,734.584,6530.67,352
15.6392,18.7876,4037.55,1115.87,731.528,8418,353
31.2785,35.2916,2234.51,1145.88,732.778,7588.5,354
46.9177,50.4766,3949.19,808.277,734.862,7979.67,355
1110.39,516.261,928.441,948.179,739.558,3439.07,356
109.475,99.6651,4127.94,1034.42,734.743,6403.57,357
31.2785,35.281,3691.2,1155.88,734.028,7469.5,358
15.6392,18.7876,2604.62,1038.35,736.529,8729,359
641.209,357.716,4060.73,1132.64,740.067,3936.44,360
46.9177,50.4662,2480.41,1211.73,736.529,8123.67,361
2048.74,899.798,4010.33,1265.08,743.44,3744.27,362
78.1962,79.508,1225.7,810.778,740.03,8149.6,363
15.6392,18.7876,4375.16,935.816,739.03,8238,364
140.753,124.129,2907.21,957.489,742.642,6052.89,365
218.949,161.515,2260.76,1028.34,744.746,5444.64,366
31.2785,35.281,4217.61,1169.64,741.531,7504.5,367
78.1962,76.2385,912.105,1234.91,742.531,6778.2,368
234.589,182.596,2488.75,1202.56,748.866,4786.27,369
359.703,232.791,536.817,1214.49,746.967,5313.39,370
15.6392,18.7876,2034.45,1013.34,746.532,7537,371
938.355,460.369,636.729,1028.47,750.784,4204.4,372
140.753,124.088,3142,1081.69,749.311,6339.89,373
625.57,353.046,3139.91,907.808,754.035,3838,374
46.9177,50.4766,2384.55,984.998,750.7,7322,375
2502.28,877.662,1445.5,1087.49,757.035,3028.94,376
7976.02,1931.69,2805.66,1104.46,760.811,2367.09,377
31.2785,35.281,3751.22,1200.9,749.033,8390.5,378
140.753,115.908,1070.26,847.456,752.645,5959.44,379
31.2785,35.2916,2819.68,880.799,752.784,8355.5,380
46.9177,50.4766,3244.81,1071.69,753.201,8135,381
891.437,438.532,1833.59,846.271,759.168,3809.54,382
187.671,146.288,937.862,896.012,755.702,4901.17,383
15.6392,18.7876,4045.06,1028.34,754.035,8729,384
78.1962,76.2281,1745.86,1201.9,754.535,8120.2,385
359.703,236.092,3976.01,953.648,760.341,5047.74,386
344.063,223.313,4372.09,1013.34,759.15,5043.09,387
359.703,235.418,1719.35,1060.85,760.341,4883.13,388
422.26,264.521,1749.27,1093.18,760.796,4395.89,389
15.6392,18.7876,1426.76,1215.9,756.535,7196,390
31.2785,35.281,1165.43,1295.93,759.036,7905.5,391
31.2785,35.281,3327.34,977.079,761.537,6569,392
31.2785,35.281,2014.44,1179.64,761.537,8058.5,393
172.032,140.341,3488.07,832.376,770.176,4532.91,394
31.2785,35.281,3319.84,1237.16,766.538,7599,395
234.589,170.742,3278.32,853.958,771.54,6215.4,396
1313.7,579.582,1556.32,857.816,774.815,3579.6,397
140.753,121.845,3864.17,957.211,773.485,7200,398
531.734,312.037,4588.6,926.181,778.674,4820.47,399
281.506,195.457,3350.26,1210.9,776.541,5384,400
1157.3,533.559,2839.32,1039.29,783.131,3476.58,401
15.6392,18.7876,1564.3,1058.35,776.541,8444,402
5849.08,1561.01,1239.43,1192.54,785.836,2621.94,403
31.2785,35.281,1715.6,800.775,779.042,8481,404
187.671,150.887,3178.13,879.341,780.709,4670.5,405
93.8355,86.8153,4124.25,1049.18,780.293,7026,406
109.475,100.682,3042.97,1141.59,779.757,6829.57,407
11260.3,2406.81,3862.09,1194.13,791.237,1941.25,408
62.557,63.3781,4460.18,1264.67,780.293,7386.25,409
5989.83,1580.34,509.949,949.776,793.786,2486.65,410
312.785,213.963,4187.47,1024.72,789.92,5204.6,411
234.589,170.742,1540.3,1144.05,791.546,5610.13,412
93.8355,86.8047,1578.06,1295.09,790.712,7008,413
15.6392,18.7876,681.535,1300.93,794.047,6459,414
31.2785,35.2916,2869.7,810.778,797.798,7859,415
516.095,312.673,4009.14,1001.29,800.791,4717.45,416
312.785,218.894,939.488,1223.53,802.924,5492.1,417
1986.18,751.52,2495.14,1254.65,804.739,2337.56,418
46.9177,50.4766,1894.4,1271.75,799.882,7548.67,419
1219.86,583.794,1913.64,906.352,806.454,4195.85,420
109.475,99.6757,4258.34,961.181,802.621,6434.71,421
62.557,63.3781,4262.62,1292.17,805.3,6985.75,422
609.931,363.633,1890.24,912.86,813.283,4808.82,423
15.6392,18.7876,3282.32,925.813,806.55,8735,424
31.2785,35.281,3714.96,972.077,806.55,5828,425
46.9177,50.4766,686.536,1060.02,808.218,6441,426
62.557,63.3781,4318.89,1075.86,807.801,7937.25,427
140.753,121.794,745.999,1180.06,807.662,7228.67,428
437.899,270.197,2716.88,1193.84,809.855,4021.71,429
547.374,324.256,3055.47,1288.92,810.052,5148.26,430
1501.37,620.748,3287.2,1155.15,814.079,3043.91,431
641.209,348.197,1273.06,1198.09,812.345,4343.2,432
46.9177,50.4766,3217.3,1271.75,809.885,7654.67,433
375.342,256.228,3984.41,928.731,816.449,4157.42,434
390.981,244.395,4582.72,841.587,819.154,4689.6,435
15.6392,18.7876,1401.75,873.297,816.554,8402,436
578.652,324.668,1725.03,997.727,820.068,3682.54,437
31.2785,35.2916,513.984,1253.41,817.804,7940,438
265.867,189.822,3352.49,1205.75,821.114,5925.41,439
46.9177,50.4766,3677.44,929.981,822.389,8204.67,440
594.291,345.076,1200.84,995.374,829.255,4428.68,441
15.6392,18.7876,629.019,1003.34,824.056,8415,442
93.8355,89.0989,1577.64,1082.53,826.557,6542.83,443
46.9177,50.4766,3788.31,858.293,828.224,6813.67,444
31.2785,35.281,3726.21,988.332,826.557,8256,445
31.2785,35.281,2467.08,822.032,829.057,6635.5,446
4050.56,1207.36,3829.15,1144.68,836.183,2328.86,447
109.475,101.678,3467.38,1155.17,831.915,6185,448
203.31,155.577,1875.74,1188.01,830.404,4266.85,449
406.62,257.296,1731.95,811.548,834.732,4177.08,450
125.114,111.227,1103.85,822.344,834.371,6280.75,451
203.31,173.307,4272.24,868.103,832.52,6963.46,452
15.6392,18.7876,4017.55,1080.86,831.558,8256,453
93.8355,89.0989,2163.65,1115.87,833.225,7440,454
31.2785,35.281,2079.46,1252.16,831.558,7070,455
78.1962,78.5631,1071.65,1131.38,835.059,7228,456
813.241,422.424,2088.6,1261.35,839.878,4406.56,457
140.753,115.908,1383.14,999.169,837.949,5705.67,458
187.671,149.85,2430.19,1051.27,838.852,5895.5,459
31.2785,35.2916,2934.72,1083.36,837.81,8261.5,460
469.177,286.63,846.918,892.303,843.395,4885.2,461
31.2785,35.2916,2184.49,1065.86,840.311,7359,462
78.1962,76.2281,4048.56,1274.42,841.061,7783.2,463
516.095,331.419,1406.75,988.863,846.714,5223.24,464
15.6392,18.7876,4220.11,1020.84,841.561,7963,465
156.392,128.779,4599.22,1114.37,843.312,5945.1,466
406.62,258.532,4236.65,1285.44,846.082,5052.81,467
547.374,320.08,3640.22,838.93,849.206,4516.89,468
15.6392,18.7876,1631.82,1030.84,846.563,7443,469
31.2785,35.2916,1511.79,1055.85,847.813,8013,470
281.506,215.573,1741.72,1123.79,848.924,6928.33,471
140.753,115.918,2703.54,807.166,850.731,5357,472
