"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
312.785,212.966,2035.83,3368.09,65.5377,3752.9,177
359.703,233.87,1105.87,3515.57,64.5972,3243.17,178
31.2785,36.5587,4332.78,3601.41,67.9134,6833.5,179
78.1963,76.2385,1742.74,3394.1,70.6643,6450.2,180
218.95,163.809,2052.26,3235.41,74.5226,4376.5,181
31.2785,35.281,1995.81,3531.39,74.1653,6772.5,182
46.9178,51.7744,4349.03,3650.18,74.1653,7053,183
31.2785,35.2916,965.502,3685.19,75.4157,5552,184
14137.9,3098.36,3370.91,3194.2,93.0815,2213.58,185
875.798,440.113,2440.99,3611.42,81.3997,2541.29,186
15.6393,18.7876,4324.02,3640.18,76.6661,7293,187
234.589,189.78,1235.08,3222.21,84.0017,4164.93,188
15.6393,18.7876,1855.77,3442.62,79.1669,6194,189
109.475,96.0732,3394.81,3484.06,82.7394,5835,190
46.9178,50.4662,908.818,3523.47,81.6676,5931.33,191
265.867,201.133,804.717,3686.95,84.9039,3954.53,192
30715.5,4747.48,4529.03,3468.87,101.19,2544,193
422.26,267.791,3707.17,3521.62,87.2249,3507.81,194
3112.21,1042.84,1237.13,3232.45,96.5088,2835.59,195
703.766,369.018,889.145,3512.14,90.6148,2846.49,196
860.159,433.622,3558.34,3667.77,92.8983,3041.51,197
2924.54,990.954,4473.57,3483.22,97.4211,3096.55,198
172.032,139.345,2644.65,3192.08,95.3081,3652.73,199
15.6393,18.7876,4514.08,3262.56,91.6707,6328,200
1344.98,580.062,499.546,3310.07,96.9048,3461.87,201
172.032,141.317,3521.73,3400.33,95.0808,5292.18,202
31.2785,35.2916,545.374,3505.13,92.921,5223.5,203
250.228,178.994,3630.53,3510.14,94.9529,3603.44,204
31.2785,35.2916,2398.44,3615.17,92.921,6974.5,205
31.2785,35.281,1230.58,3218.8,94.1714,7015.5,206
985.273,475.325,2396.61,3241.8,99.7287,3171.48,207
203.31,156.835,2782.78,3289.68,96.8645,4146.85,208
1282.42,603.773,4336.77,3603.15,103.382,7789.79,209
15.6393,18.7876,4321.52,3645.18,96.6722,7099,210
78.1963,76.2281,1174.06,3563.65,101.174,4965.6,211
46.9178,50.4766,3526.28,3556.82,102.507,6632.33,212
93.8355,86.8048,2189.62,3621.84,103.341,4289.83,213
125.114,103.047,1034.27,3546.4,105.425,4806.38,214
31.2785,35.2916,2480.96,3365.09,107.926,6666.5,215
265.867,195.457,2637.63,3472.48,110.794,4200.35,216
62.557,64.6452,4648.5,3648.3,107.926,6636.75,217
3675.22,1148.88,791.715,3269.65,118.455,2704.07,218
15.6393,18.7876,3358.73,3267.56,109.176,6330,219
140.753,120.777,1418.14,3318.97,111.399,4652.22,220
265.867,188.252,1917.7,3337.73,112.559,3092,221
46.9178,50.4766,4633.28,3650.18,112.51,6703.67,222
15.6393,18.7876,1738.24,3242.55,114.177,7437,223
46.9178,50.4766,642.904,3669.35,117.512,6943.33,224
125.114,112.588,2052.39,3533.27,123.868,5977.63,225
78.1963,78.522,1661.21,3655.18,122.68,5572,226
15.6393,18.7876,3066.14,3227.55,124.181,6379,227
15.6393,18.7876,1693.22,3482.63,124.181,7399,228
359.703,236.143,2718.43,3592.01,127.334,3884.48,229
172.032,139.355,1854.41,3386.92,129.864,4090.45,230
78.1963,78.8247,4658.12,3578.66,129.182,5860.2,231
547.374,316.427,2275.97,3582.94,130.825,3583.66,232
516.095,303.95,4501.88,3601.07,132.895,3532.94,233
453.538,287.615,4670.68,3369.92,136.426,4359.1,234
328.424,230.768,4217.09,3319.24,140.257,3955.9,235
828.88,440.837,2932.75,3238.17,145.083,3697.08,236
62.557,63.3781,3898.89,3371.34,140.435,6602.75,237
46.9178,50.4766,2401.77,3385.1,140.852,5986.33,238
31.2785,35.281,4714.14,3558.9,139.185,5980.5,239
31.2785,35.281,4137.72,3365.09,141.686,6960,240
78.1963,76.2281,3480.27,3596.16,142.186,5403.6,241
78.1963,78.5737,1391.63,3687.69,144.687,4168.6,242
250.228,180,2751.2,3214.58,147.781,3997.88,243
938.355,453.58,3680.45,3408.44,149.772,3546.62,244
15.6393,18.7876,3026.13,3292.57,146.687,5687,245
15.6393,18.7876,1020.52,3522.64,149.188,7470,246
78.1963,76.2385,1981.31,3623.67,150.188,5725.4,247
172.032,145.272,1128.28,3276.2,155.099,4479.36,248
531.735,308.497,1968.23,3444.38,156.911,3188.38,249
78.1963,78.8247,1777.75,3451.62,154.19,6098,250
265.867,199.06,1748.09,3581.63,158.309,4399.24,251
15.6393,18.7876,1748.24,3370.09,156.69,6926,252
78.1963,76.2281,1249.59,3451.62,157.191,4590.8,253
15.6393,18.7876,772.943,3332.58,159.191,7176,254
46.9178,50.4766,4003.09,3500.13,160.025,5678.67,255
1094.75,507.357,3252.16,3600.23,164.836,2723.69,256
78.1963,76.2385,566.88,3579.66,163.192,5410.8,257
31.2785,35.281,3552.54,3320.08,166.693,5615,258
422.26,260.576,2125.95,3555.06,170.769,3712.19,259
844.52,422.897,2746.88,3644.76,171,3546.76,260
46.9178,50.4662,3582.13,3229.22,169.194,5795.67,261
375.342,242.08,3570.56,3600.79,172.737,3325.29,262
187.671,149.569,3258.91,3620.38,172.737,5420.67,263
265.867,192.105,747.347,3349.35,177.138,4856.24,264
218.95,168.428,2739.43,3460.48,178.304,4426.21,265
46.9178,51.7957,4454.06,3225.05,179.197,5964.33,266
500.456,295.667,2358.03,3364.78,180.057,3508.91,267
62.557,64.3535,1695.1,3514.51,177.322,5419.5,268
172.032,139.345,3267.34,3613.35,178.515,4430.27,269
297.146,202.431,3314.11,3254.79,182.093,3131.63,270
781.963,450.933,1466.65,3322.83,189.05,3867.02,271
234.589,173.108,2167.2,3495.63,187.033,4086.47,272
140.753,115.918,3995.31,3198.93,193.368,4392.56,273
1939.27,758.976,1192.99,3439.79,198.82,3170.99,274
93.8355,90.1153,3704.25,3489.71,193.368,5038,275
24991.5,4139.86,4514.81,3228.26,210.721,2236.4,276
15.6393,18.7876,4203.99,3420.11,194.202,6510,277
62.557,63.3573,2327.17,3643.93,194.202,6189,278
1282.42,552.984,625.185,3652.86,199.478,2805.51,279
1266.78,560.481,4081.39,3266.6,201.982,3652.27,280
15.6393,18.7876,722.928,3270.06,196.703,6884,281
62.557,64.6454,2525.35,3311.33,198.578,5036.75,282
1188.58,532.827,3325.56,3527.11,202.296,2478.37,283
1110.39,510.667,3036.94,3539.83,202.444,3124.89,284
46.9178,50.4766,3223.69,3280.9,200.87,6198.33,285
656.849,364.265,2076.32,3378.13,205.098,3949.71,286
781.963,422.644,2264.6,3490.03,205.905,4076.74,287
359.703,234.099,1516.43,3311.71,204.205,4783.13,288
172.032,142.917,4648.89,3382.6,204.432,5391.18,289
359.703,237.461,1022.48,3493.5,205.183,4359.78,290
48669.4,6730.24,3936.44,3675.12,224.508,2287,291
140.753,123.796,2675.74,3470.12,206.983,5220.56,292
