"PlatesH3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
453.538,277.381,3910.2,3124.08,640.696,3162.59,194
2533.56,888.63,1962.01,3467.76,643.832,2427.82,195
406.621,261.833,1033.06,3462.64,642.023,4189.46,196
46.9178,50.4766,1146.18,3485.08,639.201,6132.67,197
109.475,99.6758,3832.35,3219.05,644.441,4635.29,198
15.6393,18.7876,1843.89,3330.87,643.369,5928,199
7913.46,1923.12,2430.51,3414.06,655.092,2199.74,200
125.114,103.047,4088.32,3057.03,647.12,5127.88,201
656.849,357.655,947.246,3319.55,653.313,3525.43,202
15.6393,18.7876,703.541,3443.4,648.371,7005,203
125.114,108.934,3135.22,3136.43,654.935,4954,204
203.31,153.253,2108.01,3218.33,654.719,3510.46,205
15.6393,18.7876,993.629,3333.37,655.873,7204,206
109.475,105.352,646.023,3447.69,658.374,4026,207
594.292,360.543,3893.72,3394.37,663.244,3351.55,208
15.6393,18.7876,4687.25,3433.4,658.374,7304,209
6662.32,1816.38,4117.56,3073.64,670.637,2483.18,210
203.31,156.793,3182.56,3400.89,665.876,5021.15,211
46.9178,50.4766,4182.93,3413.39,665.042,6368,212
281.507,201.082,1647.02,3149.42,670.6,4112.89,213
281.507,201.374,3585.81,3204.72,668.516,4246.39,214
78.1963,76.2385,3859,3239.34,669.377,5820.4,215
719.406,375.518,1253.38,3447.21,672.672,3579.33,216
15.6393,18.7876,1406.25,3068.29,670.878,6827,217
860.159,424.738,2873.15,3473.68,679.335,3069.13,218
359.703,230.549,4297.35,3180.06,678.597,4513.61,219
31.2785,35.2916,1038.64,3193.32,677.129,6605,220
31.2785,35.281,2459.07,3287.1,675.879,5337,221
516.095,302.851,2651.1,3457.8,680.729,3594.39,222
31.2785,35.281,4645.99,3318.36,678.38,5948.5,223
797.602,436.239,3114.81,3450.9,682.499,3710.06,224
15.6393,18.7876,1738.86,3188.32,680.881,4913,225
172.032,135.763,3260.45,3529.56,683.609,5116.82,226
625.57,349.675,2064.89,3346.5,689.008,4027.05,227
140.753,124.129,2947.28,3330.59,691.439,5679.89,228
125.114,108.944,3082.7,3459.97,696.51,5077.13,229
31.2785,35.2916,3584.42,3260.84,697.136,5796,230
187.671,147.597,3918.48,3463.2,697.969,5314,231
46.9178,50.4766,1706.35,3490.08,702.554,5529.67,232
15.6393,18.7876,2306.53,3283.35,703.387,5746,233
156.393,135.722,1555.3,3147.06,709.139,4715.7,234
15.6393,18.7876,1463.77,3493.42,705.888,5770,235
547.374,322.625,1558.09,3101.94,712.39,3851.31,236
125.114,103.047,2117.72,3182.07,709.639,4961,237
234.589,170.742,2576.61,3246.51,711.89,4642.87,238
31.2785,35.281,2662.89,3335.87,708.389,6429.5,239
985.273,581.552,1555.86,3124.02,718.114,4070.7,240
62.557,64.3535,2227.13,3389.01,715.266,6506,241
1814.15,757.663,3817.5,3061.91,723.846,3152.59,242
297.146,204.715,2082.64,3275.32,718.655,4671.89,243
8288.8,1981.02,839.129,3270.39,730.683,1939.18,244
265.867,192.963,3815.81,3044.75,724.717,4680.59,245
234.589,174.637,3972.03,3357.87,723.06,4792.4,246
15.6393,18.7876,2214,3413.39,720.893,6914,247
265.867,188.513,3064.7,3422.95,723.246,4459.12,248
62.557,63.3781,1568.8,3124.55,724.644,5074,249
578.652,377.129,1564.28,3134.39,732.585,4817.14,250
62.557,64.6454,1615.07,3241.46,726.519,5329.5,251
375.342,245.703,4557.21,3278.87,734.543,4511.67,252
265.867,188.221,2626.18,3418.25,734.72,3729.94,253
46.9178,50.4766,3546.9,3067.45,735.064,6081.67,254
250.228,182.586,1621.32,3257.09,736.835,3961.81,255
93.8355,86.8047,1107.41,3386.72,735.064,6353,256
109.475,99.6758,3587.99,3410.53,734.468,6504.29,257
1751.6,694.229,3665.6,3518.76,740.609,3189.21,258
172.032,138.298,3960.89,3368.6,738.625,5557.64,259
125.114,111.228,1972.36,3418.08,738.085,4868.25,260
625.57,342.501,3276.26,3516.99,739.461,3146.98,261
2846.34,964.244,4235.96,3175.17,746.134,2265.97,262
109.475,103.278,3399.72,3187.25,741.256,5184.71,263
46.9178,50.4766,4254.62,3301.69,739.232,6594.33,264
62.557,63.3781,2397.81,3163.32,742.149,5941,265
1282.42,567.311,1836.96,3039.92,750.475,3393.84,266
78.1963,76.2281,2925.72,3486.91,745.4,6610,267
578.652,322.697,4408.86,3272.61,750.226,3594.65,268
62.557,63.3781,1132.42,3213.33,749.651,6320.75,269
93.8355,91.4752,1727.6,3030.77,755.903,6200.33,270
6943.83,1771.61,1740.61,3125.92,765.191,2102.96,271
2017.46,759.78,4006.54,3244.06,762.863,2748.84,272
312.785,215.281,2164.36,3302.61,759.78,4525.8,273
93.8355,91.4752,1650.08,3530.93,758.404,4098.83,274
1923.63,739.444,3275.68,3134,765.805,2604.5,275
93.8355,86.8047,1814.71,3464.66,761.738,4884.67,276
93.8355,89.0989,3363.52,3337.53,765.906,5643.17,277
46.9178,50.4662,3578.58,3524.26,763.406,5363.67,278
31.2785,35.281,664.779,3150.81,765.906,6547.5,279
312.785,209.406,3268.7,3358.12,770.908,3699,280
31.2785,35.281,3780.73,3465.91,768.407,6634.5,281
469.178,283.027,2406.56,3523.84,772.992,3396.23,282
1517.01,775.335,3189.94,3222.9,781.066,7395.1,283
891.437,439.852,2649.09,3119.53,779.77,3084.28,284
7303.53,1808.85,2308.46,3153.24,785.602,1732.46,285
15.6393,18.7876,4267.12,3403.39,775.909,7293,286
250.228,177.757,3225.56,3328.68,781.224,4979.38,287
672.488,362.637,3111.13,3379.66,783.528,2798.14,288
15.6393,18.7876,2654.13,3503.42,778.41,6308,289
109.475,102.011,1651.69,3529.5,780.911,4504.71,290
15.6393,18.7876,4277.13,3295.86,780.911,7167,291
62.557,65.6723,4199.6,3397.14,783.412,5961.5,292
265.867,189.56,683.241,3193.47,786.795,4078.06,293
203.31,155.516,1722.89,3308.74,786.297,4913.92,294
265.867,189.54,4187.1,3529.31,786.942,3970.71,295
93.8355,90.8091,1989.35,3143.31,788.413,5189.17,296
15.6393,18.7876,1743.86,3153.31,785.912,7249,297
20753.3,4380.69,4268.63,3315.1,811.696,7027.96,298
31.2785,35.281,2296.52,3367.13,785.912,5769,299
31.2785,35.2916,3106.77,3300.86,789.664,6543.5,300
31.2785,35.2916,3284.33,3315.86,789.664,6862.5,301
4206.96,1261.06,3665.72,3190.25,799.021,2714.23,302
15.6393,18.7876,3216.8,3333.37,790.914,7391,303
547.374,317.072,4243.83,3425.54,797.273,3730.11,304
31.2785,35.2916,3969.53,3440.9,797.166,6615,305
218.95,163.85,3112.84,3484.13,798.595,3927.57,306
15.6393,18.7876,4344.65,3085.79,798.416,7043,307
828.88,467.677,4518.52,3194.36,800.775,3759.6,308
140.753,115.918,1832.5,3474.8,801.751,4003.56,309
125.114,112.255,2455.95,3130.49,804.043,4835,310
1548.29,694.382,752.318,3307.55,808.52,7410.41,311
93.8355,89.0989,3548.57,3302.52,803.418,5580.83,312
359.703,236.184,2511.26,3503.53,804.07,3279.35,313
62.557,63.3573,2592.86,3519.67,800.917,4552,314
31.2785,35.2916,1813.88,3278.35,804.668,6451,315
516.095,302.862,3012.42,3279.71,807.586,3903.73,316
156.393,128.779,2585.11,3360.13,806.919,4094.1,317
78.1963,76.2385,2552.1,3161.81,809.42,4603.8,318
172.032,137.021,3036.07,3218.79,809.556,5157.09,319
15.6393,18.7876,1161.18,3268.35,808.419,5819,320
31.2785,35.281,2068.96,3524.68,808.419,5886,321
15.6393,18.7876,1053.65,3295.86,810.92,7181,322
125.114,103.047,687.286,3499.67,814.671,4788.25,323
203.31,163.747,2785.71,3214.87,817.653,4762.62,324
46.9178,50.4766,1493.78,3414.22,816.755,6827,325
78.1963,76.2385,837.582,3461.41,817.422,4875.4,326
3409.36,1477.95,2563.15,3093.43,840.665,3695.45,327
31.2785,35.281,806.072,3172.07,818.422,5580,328
62.557,63.3573,2547.85,3149.56,820.923,5506,329
46.9178,50.4766,1231.2,3167.48,821.757,5447,330
187.671,158.102,4392.37,3309.82,824.883,5400.08,331
31.2785,35.2916,3141.78,3510.92,822.173,7178,332
125.114,103.047,837.332,3312.11,824.674,4505.88,333
203.31,155.588,3593.27,3443.59,824.963,4353.38,334
1016.55,506.259,4111.81,3197.13,831.734,3831.45,335
46.9178,50.4662,4291.3,3251.68,825.925,5556,336
31.2785,35.2916,1061.15,3285.85,827.175,7154.5,337
453.538,273.508,1685.74,3178.49,835.496,3443.17,338
15.6393,18.7876,3006.74,3240.84,830.926,6470,339
