"PlatesV3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
234.589,174.386,4288.2,3178.2,580.31,4151.27,262
187.671,149.86,2010.05,3451.41,580.393,3053.83,263
31.2785,35.281,2418.3,3292.82,579.976,5673,264
62.557,63.3573,2169.48,3597.91,579.976,4789.75,265
422.26,264.531,1175.24,3234.7,586.552,2481.44,266
2408.45,851.086,2612.11,3558.11,591.619,1928.64,267
78.1963,76.2281,1644.07,3318.08,586.978,4413.4,268
31.2785,35.281,1247.95,3170.28,587.479,5125.5,269
656.849,366.713,4221.53,3644.89,594.207,2322.36,270
15.6393,18.7876,4046.3,3576.66,592.48,6217,271
422.26,263.906,2365.23,3631.3,597.111,3079.41,272
125.114,113.552,2859.06,3542.58,599.67,3669.88,273
422.26,264.209,2600.95,3311.58,603.502,2997.96,274
156.393,126.474,2422.05,3454.62,601.483,2876.8,275
15.6393,18.7876,872.832,3489.13,599.982,3828,276
312.785,211.699,4246.73,3594.04,606.86,3316.7,277
390.981,249.738,4511.14,3616.47,607.485,2702.4,278
156.393,132.36,1447.76,3644.43,603.984,4773.9,279
93.8355,86.8154,2484.15,3288.24,606.234,4770.67,280
500.456,300.829,3516.21,3207.25,610.845,2443,281
531.735,312.381,2501.71,3323.2,613.442,2861.29,282
109.475,99.6758,2384.01,3226.91,613.915,4091.29,283
109.475,102.069,745.293,3296.57,614.987,4668,284
218.95,163.809,2694.46,3256.92,617.845,2931.64,285
234.589,176.679,3352.08,3370.93,615.987,3724.8,286
31.2785,35.281,2585.85,3380.35,614.987,5012,287
62.557,64.6452,4523.32,3147.15,618.738,5338.75,288
1501.37,626.324,1048.17,3519.69,625.251,2352.96,289
62.557,64.3534,2871.56,3305.95,624.365,5058.25,290
31.2785,35.281,3341.08,3377.85,622.489,4081,291
62.557,63.3781,2960.97,3452.87,623.74,4163,292
62.557,64.3534,3400.47,3521.02,623.114,4688,293
4019.29,1250.2,1665.87,3260.16,636.005,2126.51,294
46.9178,50.4662,4112.15,3300.74,624.99,4961,295
15.6393,18.7876,4161.33,3254.06,627.491,5807,296
265.867,210.36,1642.77,3265.09,633.081,4504.76,297
15.6393,18.7876,3116.01,3391.6,627.491,6148,298
125.114,103.047,4225.1,3487.88,628.741,3504,299
93.8355,89.0989,4132.99,3554.15,629.158,4394.33,300
344.064,235.106,3773.6,3302.71,633.515,2989.14,301
641.209,349.444,2242.39,3435.82,633.773,2541.56,302
15.6393,18.7876,2965.97,3171.53,632.492,2867,303
109.475,99.6755,3522.57,3430.54,635.35,3357.57,304
46.9178,50.4766,3468.62,3528.31,633.326,4366,305
15.6393,18.7876,3706.19,3586.66,632.492,6234,306
109.475,99.6758,2720.18,3321.22,636.422,3832.29,307
187.671,147.305,2434.35,3273.86,643.537,4337.42,308
140.753,115.918,4395.29,3563.04,641.662,3532.56,309
15.6393,18.7876,3771.21,3301.57,644.996,6132,310
218.95,176.619,4610.57,3289.07,651.069,3949.79,311
766.323,388.087,2014.66,3414.01,650.916,2254.92,312
46.9178,50.4766,2777.58,3191.54,650.831,4984.33,313
234.589,170.742,3659.68,3269.73,654.999,2406.4,314
344.064,223.313,1000.14,3489.02,655.34,5672.09,315
1313.7,559.647,845.324,3214.26,659.614,1720.26,316
3206.05,1036.84,2543.99,3251.73,663.429,2026.91,317
109.475,99.6651,2029.61,3356.23,656.785,4089.57,318
234.589,176.71,2582.02,3299.41,663.502,2981.87,319
15.6393,18.7876,2625.86,3549.15,660.001,4294,320
31.2785,35.281,2648.37,3250.31,662.501,5618,321
78.1963,85.7789,1352.98,3383.1,667.503,4274.6,322
78.1963,76.2385,2819.42,3426.11,663.502,4543.2,323
218.95,165.076,4051.65,3344.8,668.039,3405.57,324
437.899,298.786,4304.05,3369.18,672.058,3779.21,325
31.2785,35.2916,1518.03,3454.12,666.253,4019.5,326
46.9178,50.4662,1199.6,3278.23,667.503,4294,327
156.393,126.495,4655.23,3348.09,669.504,2907.5,328
500.456,323.493,1349.23,3370.42,675.083,2787.75,329
516.095,304.421,4597.14,3190.25,673.944,3230.64,330
31.2785,35.281,4223.85,3565.4,670.004,5694.5,331
31.2785,35.2916,4056.3,3261.56,676.256,5779.5,332
15.6393,18.7876,2955.96,3564.15,675.005,6168,333
406.621,255.968,3170.65,3308.69,681.738,3156.23,334
125.114,108.944,4425.47,3540.4,679.382,4365,335
15.6393,18.7876,3491.13,3589.16,677.506,5514,336
78.1963,76.2385,645.763,3223.05,681.007,4904.8,337
75349.9,8658.91,3382.02,3362.72,704.127,1745.27,338
359.703,238.437,1483.56,3575.9,687.509,3045.3,339
3331.16,1113.31,4055.61,3263.17,694.013,2517.54,340
172.032,135.743,1809.48,3451.85,686.372,3462.27,341
31.2785,35.281,1329.22,3171.53,687.509,5625.5,342
78.1963,76.2385,2432.31,3334.58,689.009,3932,343
33546.2,5031.42,2421.78,3374.38,706.383,1605.48,344
719.406,386.518,3344.02,3265.86,695.066,3006.37,345
15.6393,18.7876,3541.14,3391.6,690.01,5637,346
406.621,252.355,2260.85,3604.07,694.53,3289.85,347
140.753,119.5,1044,3261.84,696.678,3629,348
563.013,326.381,1625.91,3253.09,704.806,2531.36,349
31.2785,35.281,1244.19,3576.66,700.013,5175.5,350
78.1963,76.2281,3767.71,3153.03,704.514,5561.8,351
2236.41,821.681,4610.66,3423.43,708.827,2236.27,352
93.8355,89.0989,2117.38,3536.65,704.181,3558.17,353
15.6393,18.7876,3133.52,3614.17,702.514,6135,354
93.8355,88.0825,3347.33,3432.86,706.265,5594.17,355
15.6393,18.7876,907.843,3574.16,705.014,5663,356
93.8355,86.8154,3536.97,3205.71,711.266,4710.5,357
172.032,137.02,2699.52,3587.12,713.199,4642.36,358
187.671,145.272,3769.96,3501.22,715.434,3638.17,359
281.507,194.179,4586.18,3442.17,718.074,3228.44,360
46.9178,50.4766,3539.48,3574.16,715.851,5078.33,361
1126.03,511,1162.61,3615.8,720.262,2310.88,362
125.114,103.047,3734.95,3180.29,718.769,3678,363
218.95,161.515,3374.84,3507.35,720.019,2483.93,364
46.9178,50.4766,4413.91,3605,719.185,5428.67,365
46.9178,50.4662,1314.63,3325.75,720.019,5363.33,366
109.475,96.0732,2674.45,3607.74,721.448,3565,367
672.488,368.514,1306.68,3352.35,726.416,2966.6,368
31.2785,36.2667,2287.01,3531.64,723.77,5894.5,369
78.1963,78.5737,4304.87,3146.53,727.021,3989.4,370
1126.03,517.934,3303.92,3604.72,730.647,2634.97,371
41397.1,5817.44,1917.44,3359.36,747.747,1708.47,372
15.6393,18.7876,2905.95,3354.09,727.521,6177,373
15.6393,18.7876,2050.69,3154.03,730.022,6015,374
31.2785,35.281,3157.28,3304.07,735.023,4979.5,375
437.899,280.722,1850.09,3410.8,741.543,3527,376
31.2785,35.2916,2805.92,3466.62,741.275,5378,377
109.475,105.613,937.494,3420.54,748.599,3739.57,378
125.114,117.196,835.633,3571.66,747.215,3068.63,379
78.1963,78.5631,3111.01,3643.68,746.527,4224,380
109.475,99.6758,4195.98,3155.1,748.599,4484.71,381
234.589,172.02,4307.21,3241.89,750.028,3853.53,382
1110.39,512.367,2801.94,3320.24,753.233,2247.38,383
62.557,64.3534,3574.28,3332.21,751.904,4422.25,384
46.9178,50.4766,2580.85,3445.78,750.862,5333.67,385
15.6393,18.7876,4548.95,3604.17,752.529,6208,386
78.1963,76.2385,2518.83,3150.03,756.53,5082.4,387
78.1963,76.2385,4315.38,3189.54,759.031,4782.4,388
31.2785,35.281,2872.19,3206.55,760.031,4902.5,389
93.8355,86.8047,3980.44,3325.33,763.365,4667.17,390
375.342,265.517,4530.4,3583.53,766.596,4264.58,391
15.6393,18.7876,2838.43,3319.08,767.533,4920,392
15.6393,18.7876,2905.95,3586.66,767.533,4183,393
